v1.5 ID,Indicator,v1.5 pillar,v1.5 method,v1.5 core gate,Egypt evidence class,Egypt level,Bhutan level,Bhutan confidence,v1.6 disposition,Merged into,v1.6 pillar,v1.6 layer,Use-case areas,Prerequisite,DAR steps served,Rationale
2.3,Active mobile broadband subscriptions per 100 inhabitants,C1,Quantitative threshold,,Measured,4,3,High,MERGED,2.4,C1: Connectivity & access,,,,,"Supply-side duplicate of internet use (Eg L4/L4, Bh L4/L3)"
2.4,Individuals using the Internet (% of population),C1,Quantitative threshold,,Measured,4,4,High,KEEP,,C1: Connectivity & access,Foundation,ALL,,S1C;S2B,"Absorbs 2.3 (Eg L4/L4, Bh L4/L3): subscriptions duplicate usage"
2.5,Mobile broadband basket price (% GNI per capita),C1,Quantitative threshold,YES,Measured,4,5,High,KEEP,,C1: Connectivity & access,Foundation,ALL,,S1C;S2B,"Affordability, Measured global (ITU). 2.8 dropped as its Local duplicate"
2.6,Adults with mobile phone (% age 15+),C1,Quantitative threshold,,Measured,5,4,High,MERGED,2.7,C1: Connectivity & access,,,,,Not redundancy but relevance: rural reading binds; national figure retained as comparator sub-reading (Eg 2.7 L1 vs 2.6 L5)
2.7,Smartphone ownership among rural/agricultural population (%),C1,Quantitative threshold,,Measured,1,5,Medium,KEEP,,C1: Connectivity & access,Foundation,ALL,,S1C;S2B,Rural smartphone is the binding reading (Eg L1 vs national L5 — the gap IS the finding); national 2.6 kept as comparator sub-reading
2.8,Average mobile data cost in rural areas (USD per GB),C1,Quantitative threshold,,Judged,3,4,Low/Estimated,DROP,,,,,,,"Duplicate of 2.5 measured worse: Eg no value/Low, Bh estimated; USD/GB has no global series"
2.9,Electricity access in rural areas (%),C1,Quantitative threshold,YES,Measured,5,5,Medium,KEEP,,C1: Connectivity & access,Foundation,ALL,UNIVERSAL,S1C;S2B,"Universal gate: no power, no digital agriculture"
2.10,Average download speed in agricultural areas (Mbps),C1,Quantitative threshold,,Measured,4,4,Low/Estimated,DROP,,,,,,,"Speed folded into coverage-quality sub-reading of 2.1; Eg Low, Bh estimated; weak in both"
2.11,Device financing/subsidy schemes for farmers,C1,Qualitative (capability),,Judged,2,2,Low/Estimated,KEEP,,C1: Connectivity & access,Foundation,ALL,,S1C;S2B,Device affordability lever; Documented; distinct from network affordability
3.1,UN E-Government Development Index (EGDI),C2,Quantitative threshold,,Measured,4,3,High,KEEP,,C2: Data & DPI,Enablers,AGI;ALL,,S1C,"Government digital delivery capacity, Measured global (UN EGDI)"
3.2,Open Data Inventory (ODIN) score,C2,Quantitative threshold,,Judged,2,3,High,DROP,,,,,,,"General-purpose open-data index; gov-digital covered by 3.1, ag-specific by 3.5m; Eg no value/Low"
3.3,National farmer registry/database,C2,Qualitative (capability),YES,Judged,4,3,Medium,KEEP,,C2: Data & DPI,Enablers,FIN;AGI;ADV,"UC:FIN,AGI",S1C;S2B,Prerequisite for targeted credit/subsidy/advisory; presence-only binding
3.4,Digital land/plot registration system,C2,Qualitative (capability),,Judged,3,4,Medium,KEEP,,C2: Data & DPI,Enablers,FIN;AGI,,S1C;S2B,Collateral & tenure records enable FIN use cases
3.5,National agricultural data portal / open data,C2,Qualitative (capability),,Judged,2,3,Medium,KEEP,,C2: Data & DPI,Enablers,AGI;ADV;SMF,,S1C;S2B,"Absorbs 3.13+3.12 (Eg L2/L1/L2, Bh L3/–/L2): one open-ag-data indicator, machine-readability and AI-readiness as quality dimensions"
3.6,Weather/climate data infrastructure for agriculture,C2,Qualitative (capability),,Judged,3,3,Medium,KEEP,,C2: Data & DPI,Enablers,ADV;SMF;AGI,,S1C;S2B,Weather/climate data — core content for advisory; bespoke anchor retained
3.7,Satellite/earth observation data integration capability,C2,Qualitative (capability),,Judged,4,2,Medium,KEEP,,C2: Data & DPI,Enablers,AGI;SMF,,S1C;S2B,EO integration; distinct asset from weather service
3.8,National soil map/database (digital),C2,Qualitative (capability),,Judged,2,3,Medium,KEEP,,C2: Data & DPI,Enablers,ADV;SMF,,S1C;S2B,Soil data underpins agronomic advisory
3.9,"Digital advisory platforms reaching >10,000 users",C2,Quantitative threshold,,Documented,4,2,Medium,KEEP,,"E1: Innovation, solutions & emerging tech",Transformation,ADV,,S1B;S2B,"MOVED C2→E1: solutions-layer presence for the ADV column, not data infrastructure"
3.10,"Digital agricultural market/e-commerce platforms (>5,000 active users)",C2,Qualitative (capability),,Judged,3,2,Medium,KEEP,,"E1: Innovation, solutions & emerging tech",Transformation,MKT,,S1B;S2B,MOVED C2→E1: solutions-layer presence for the MKT column
3.11,Interoperability standards for agricultural data,C2,Qualitative (capability),YES,Judged,2,2,Medium,KEEP,,C2: Data & DPI,Enablers,AGI;ALL,UC:AGI,S1C;S2B,Data-exchange prerequisite for integrated/AGI use cases
3.12,AI-ready agricultural datasets,C2,Qualitative (capability),,Judged,2,2,Medium,MERGED,3.5,C2: Data & DPI,,,,,Three open-data variants move together (Eg 2/1/2); machine-readable + AI-ready become the quality rungs of 3.5
3.13,Machine-readable open agricultural data (share of national ag statistics as open APIs),C2,Quantitative threshold,,Judged,1,,not in v1.3 set,MERGED,3.5,C2: Data & DPI,,,,,Three open-data variants move together (Eg 2/1/2); machine-readable + AI-ready become the quality rungs of 3.5
4.1,Data protection/privacy law,C3,Qualitative (capability),YES,Judged,4,2,High,KEEP,,C3: Policy & safeguards,Enablers,ALL,UNIVERSAL,S1C;S2B,"Universal gate: farmer data collection without a legal basis is a roadmap risk, not a foundation"
4.2,Cybersecurity legal framework (ITU GCI),C3,Quantitative threshold,YES,Measured,5,3,High,KEEP,,C3: Policy & safeguards,Enablers,ALL,,S1C,"Cyber framework, Measured global (ITU GCI); absorbs the intent of dropped 7.9 — ag-systems note in rubric"
4.3,Government AI Readiness Index,C3,Quantitative threshold,,Measured,3,2,High,KEEP,,C3: Policy & safeguards,Enablers,AGI;ALL,,S1C,"AI readiness, Measured global (Oxford Insights)"
4.4,National digital agriculture strategy,C3,Qualitative (capability),,Judged,3,3,Medium,KEEP,,C3: Policy & safeguards,Enablers,ALL,,S1A;S1B,Point of departure: does a strategy exist for the DAR to build on (Playbook 1B)
4.5,Agricultural data governance framework,C3,Qualitative (capability),YES,Judged,2,2,Medium,KEEP,,C3: Policy & safeguards,Enablers,AGI;FIN,UC:AGI,S1C;S2B,"Absorbs 4.8 (Eg 2/2, Bh 2/2 — identical): sovereignty is one clause of governance"
4.6,National AI strategy with agriculture component,C3,Qualitative (capability),,Judged,4,4,Medium,KEEP,,C3: Policy & safeguards,Enablers,AGI;ALL,,S1C;S2B,Absorbs 4.13 (Bh 4 vs 2 — strategy outruns responsible-AI practice; that gap becomes the quality rung of 4.6)
4.7,Digital ID system coverage (% of population),C3,Quantitative threshold,,Measured,5,5,Low/Estimated,KEEP,,C3: Policy & safeguards,Enablers,FIN;ALL,UC:FIN,S1C;S2B,DPI rail for KYC/targeting; FIN prerequisite
4.8,Data sovereignty provisions for agricultural data,C3,Qualitative (capability),,Judged,2,2,Medium,MERGED,4.5,C3: Policy & safeguards,,,,,"Identical levels both countries (2/2, 2/2); sovereignty folded into governance rubric"
4.9,Inter-ministerial coordination mechanism for digital agriculture,C3,Qualitative (capability),YES,Judged,4,3,Medium,KEEP,,C3: Policy & safeguards,Enablers,ALL,DELIVERY,S1C;S2B,Delivery-risk prerequisite: no coordination mechanism → every cross-ministry initiative at risk
4.10,Competition/antitrust framework for digital agricultural markets,C3,Qualitative (capability),,Judged,2,2,Medium,DROP,,,,,,,"Third-order at diagnostic altitude (Eg no value, Bh L2); return in advanced-country assessments"
4.11,Public procurement rules enabling digital agriculture innovation,C3,Qualitative (capability),,Judged,2,2,Medium,DROP,,,,,,,"Procurement detail belongs to Step 5 implementation design, not the diagnostic; Eg no value"
4.12,Spectrum allocation for rural/agricultural IoT,C3,Qualitative (capability),,Judged,2,3,Medium,DROP,,,,,,,SMF-niche instrument (Bh L3 populated but non-binding); revisit if smart-farming becomes a priority use case
4.13,Responsible AI principles/guidelines for agriculture,C3,Qualitative (capability),,Judged,3,2,Medium,MERGED,4.6,C3: Policy & safeguards,,,,,"Responsible-AI guidelines become the quality dimension of the AI-strategy indicator (Bh divergence 4 vs 2 is captured, not lost)"
5.1,Mean years of schooling (adults 25+),C4,Quantitative threshold,,Measured,3,1,High,DROP,,,,,,,Duplicate of 5.2 (Eg 3/3); one general-education indicator suffices at altitude
5.2,Adult literacy rate (% age 15+),C4,Quantitative threshold,,Measured,3,2,High,KEEP,,C4: People & institutions,Enablers,ALL,,S1C,General literacy retained; 5.1 schooling dropped as its duplicate (correlated background)
5.3,Tertiary enrollment in STEM fields (% gross),C4,Quantitative threshold,,Measured,4,2,High,KEEP,,C4: People & institutions,Enablers,ALL,,S1C,"Talent pipeline, Measured global"
5.4,Digital literacy among farmers (%),C4,Quantitative threshold,,Documented,1,2,Low/Estimated,KEEP,,C4: People & institutions,Enablers,ALL,,S1C;S2B,Farmer digital literacy — demand-side readiness for every use case
5.5,Extension workers trained in digital tools (%),C4,Quantitative threshold,YES,Judged,3,2,Low/Estimated,KEEP,,C4: People & institutions,Enablers,ADV,UC:ADV,S1C;S2B,"ADV prerequisite. Absorbs 1.9 programs + 5.6 ratio (Eg 3/4/–, Bh 2/2/3): one digital-extension capability indicator, presence(programs)-quality(training)-scale(ratio/reach)"
5.6,Farmer-to-digital-extension-worker ratio,C4,Qualitative (capability),,Documented,,3,Low/Estimated,MERGED,5.5,C4: People & institutions,,,,,"Extension cluster concordant (Bh 2/2/3); programs=presence, %trained=quality, ratio=scale rungs of one ladder; fixes the unscoreable prose ratio (handoff Q6)"
5.7,Dedicated digital/AI units in Ministry of Agriculture,C4,Qualitative (capability),YES,Judged,4,2,Low/Estimated,KEEP,,C4: People & institutions,Enablers,ALL,DELIVERY,S1C;S2B,"Public-delivery prerequisite. Absorbs 5.11 (Eg 4/3, Bh 2/2): agency maturity is the quality rung of the unit indicator"
5.8,University programs in agtech/digital agriculture,C4,Qualitative (capability),,Judged,2,2,Low/Estimated,KEEP,,C4: People & institutions,Enablers,ALL,,S1C,"Absorbs 5.9 (Eg 2/2, Bh 2/2 — identical): one agtech/data-science training-pipeline indicator"
5.9,Data science/AI training programs for agriculture,C4,Qualitative (capability),,Judged,2,2,Low/Estimated,MERGED,5.8,C4: People & institutions,,,,,"Identical levels both countries (2/2, 2/2)"
5.10,Digital skills training reach (% of farmer population per year),C4,Quantitative threshold,,Documented,1,1,Low/Estimated,DROP,,,,,,,"Flow duplicate of the 5.4 stock (Eg 1/1, Bh 2/1, weak in both); training reach is Step 5 programme detail"
5.11,Institutional digital maturity of key agricultural agencies,C4,Qualitative (capability),,Judged,3,2,Low/Estimated,MERGED,5.7,C4: People & institutions,,,,,"Institutional maturity concordant with unit presence (Eg 4/3, Bh 2/2); becomes its quality rung"
5.12,Gender balance in digital agriculture workforce,C4,Quantitative threshold,,Measured,1,3,Low/Estimated,KEEP,,C4: People & institutions,Enablers,EQ;ADV,,S1C;S3C,Absorbs 5.13 (Eg 1/1): one gender-balance indicator across workforce & extension
5.13,Gender parity in extension services (% female extension officers),C4,Quantitative threshold,,Measured,1,,not in v1.3 set,MERGED,5.12,C4: People & institutions,,,,,Same construct measured twice (Eg 1/1); extension parity becomes the disaggregation
6.1,Global Innovation Index (GII) score,E1,Quantitative threshold,,Measured,1,1,High,KEEP,,"E1: Innovation, solutions & emerging tech",Enablers,ALL,,S1C,"Innovation climate composite. 6.2 dropped: R&D is a GII input — Eg diverges (L4 vs L1) but the composite, not one input, is decision-relevant"
6.2,R&D expenditure (% of GDP),E1,Quantitative threshold,,Measured,4,1,High,DROP,,,,,,,"GII input, not an independent signal; Eg divergence (L4 vs GII L1) noted — composite kept as the decision-relevant reading"
6.3,Business Ready (B-READY) score,E1,Quantitative threshold,,Judged,3,3,High,KEEP,,"E1: Innovation, solutions & emerging tech",Enablers,ALL,,S1C,Business enablement (B-READY) — the SAID enablement dimension
6.4,Active agtech startups/firms,E1,Qualitative (capability),,Documented,3,2,Low/Estimated,KEEP,,"E1: Innovation, solutions & emerging tech",Transformation,ALL,,S1B;S1C;S2B,"Absorbs 6.5+6.6+6.10 (Eg 3/–/4/2, Bh 2/1/2/2): one venture-ecosystem indicator; startups=presence, support=quality, capital=scale"
6.5,Venture capital/investment in agtech (annual USD),E1,Qualitative (capability),,Documented,,1,Low/Estimated,MERGED,6.4,"E1: Innovation, solutions & emerging tech",,,,,Venture cluster; Eg spread 2 is presence-vs-funding — exactly what the ladder rungs record separately
6.6,Agtech accelerators/incubators,E1,Qualitative (capability),,Judged,4,2,Medium,MERGED,6.4,"E1: Innovation, solutions & emerging tech",,,,,Venture cluster; Eg spread 2 is presence-vs-funding — exactly what the ladder rungs record separately
6.7,Agribusiness firms using AI/ML in operations (%),E1,Quantitative threshold,,Judged,2,1,Low/Estimated,MERGED,6.13,"E1: Innovation, solutions & emerging tech",,,,,"Identical levels both countries (2/2, 1/1)"
6.8,Regulatory sandboxes for agtech/fintech,E1,Qualitative (capability),,Judged,3,2,Low/Estimated,DROP,,,,,,,"Weak in both (Eg no value, Bh estimated); noted as enabling-regulation rung of 6.14"
6.9,Public-private partnerships in digital agriculture,E1,Qualitative (capability),,Judged,4,2,Low/Estimated,KEEP,,"E1: Innovation, solutions & emerging tech",Transformation,ADV;AGI;SCM,,S1B;S2B,Delivery mechanism for public-facing use cases
6.10,Government grants/funding for agtech innovation (annual USD),E1,Qualitative (capability),,Judged,2,2,Low/Estimated,MERGED,6.4,"E1: Innovation, solutions & emerging tech",,,,,Venture cluster; Eg spread 2 is presence-vs-funding — exactly what the ladder rungs record separately
6.11,Digital financial services platforms for agriculture,E1,Qualitative (capability),,Judged,4,2,Low/Estimated,MERGED,6.14,"E1: Innovation, solutions & emerging tech",,,,,Same rails counted twice (Eg 4/4); 6.8 sandboxes noted in its enabling-regulation rung
6.12,Digital public goods adopted in agriculture,E1,Qualitative (capability),,Judged,3,2,Low/Estimated,KEEP,,"E1: Innovation, solutions & emerging tech",Transformation,ALL,,S1B;S2B,Build/buy/adopt lever for initiative design (DPGs)
6.13,SME access to digital agriculture tools/platforms (%),E1,Quantitative threshold,,Judged,2,1,Low/Estimated,KEEP,,"E1: Innovation, solutions & emerging tech",Transformation,SMF;SCM;MKT,,S1C;S2B,"Absorbs 6.7 (Eg 2/2, Bh 1/1 — identical): SME/agribusiness adoption, AI use as quality rung"
6.14,Agri-fintech / mobile-money rails accessible to smallholders,E1,Qualitative (capability),YES,Judged,4,,not in v1.3 set,KEEP,,"E1: Innovation, solutions & emerging tech",Transformation,FIN,UC:FIN,S1C;S2B,FIN prerequisite; model bespoke anchor (real thresholds). Absorbs 6.11 (Eg 4/4): DFS platforms are the same rail set
7.1,AI-related scientific publications per million population,E2,Quantitative threshold,,Measured,2,1,High,DROP,,,,,,,Research-output proxy covered by GII innovation outputs; no ag specificity
7.2,AI systems deployed in public agricultural sector,E2,Qualitative (capability),,Judged,4,2,Low/Estimated,KEEP,,"E1: Innovation, solutions & emerging tech",Transformation,ADV;FIN;SCM;SMF;AGI,,S1B;S2B,"Absorbs 7.3–7.7 (Eg 4/1/4/4/2/3): ONE AI-deployment indicator; the per-use-case spread that made Egypt interesting moves to the readiness matrix cells, where it belongs"
7.3,AI-enabled advisory services (farmer reach %),E2,Quantitative threshold,,Documented,1,1,Low/Estimated,MERGED,7.2,"E1: Innovation, solutions & emerging tech",,,,,"Five ""AI for X"" rows → per-use-case checklist inside 7.2 + readiness-matrix cells; Eg spread 3 is preserved there, not averaged away"
7.4,AI for crop/pest/disease detection and monitoring,E2,Quantitative threshold,,Judged,4,2,Medium,MERGED,7.2,"E1: Innovation, solutions & emerging tech",,,,,"Five ""AI for X"" rows → per-use-case checklist inside 7.2 + readiness-matrix cells; Eg spread 3 is preserved there, not averaged away"
7.5,"AI in agricultural finance (credit scoring, insurance)",E2,Quantitative threshold,,Judged,4,2,Medium,MERGED,7.2,"E1: Innovation, solutions & emerging tech",,,,,"Five ""AI for X"" rows → per-use-case checklist inside 7.2 + readiness-matrix cells; Eg spread 3 is preserved there, not averaged away"
7.6,AI for supply chain optimization and traceability,E2,Quantitative threshold,,Judged,2,2,Medium,MERGED,7.2,"E1: Innovation, solutions & emerging tech",,,,,"Five ""AI for X"" rows → per-use-case checklist inside 7.2 + readiness-matrix cells; Eg spread 3 is preserved there, not averaged away"
7.7,AI for climate forecasting and agricultural risk management,E2,Quantitative threshold,,Judged,3,2,Medium,MERGED,7.2,"E1: Innovation, solutions & emerging tech",,,,,"Five ""AI for X"" rows → per-use-case checklist inside 7.2 + readiness-matrix cells; Eg spread 3 is preserved there, not averaged away"
7.8,AI talent in agriculture sector,E2,Qualitative (capability),,Judged,2,1,Low/Estimated,DROP,,,,,,,"Unanswerable in both (Eg no value/Low, Bh <5 estimated); talent covered by 5.8m"
7.9,Cybersecurity of agricultural digital systems,E2,Qualitative (capability),YES,Judged,3,2,Medium,DROP,,,,,,,"Judged in both, gate power without evidence; ag-critical-systems note added to 4.2 rubric"
7.10,Explainability and transparency of AI systems in agriculture,E2,Qualitative (capability),,Judged,2,1,Low/Estimated,MERGED,7.12,"E1: Innovation, solutions & emerging tech",,,,,"Adjacent constructs, concordant levels; transparency & bias become quality rungs"
7.11,Bias monitoring and mitigation in agricultural AI,E2,Qualitative (capability),,Judged,2,2,Medium,MERGED,7.12,"E1: Innovation, solutions & emerging tech",,,,,"Adjacent constructs, concordant levels; transparency & bias become quality rungs"
7.12,Farmer consent and data rights in AI systems,E2,Qualitative (capability),YES,Judged,3,2,Medium,KEEP,,"E1: Innovation, solutions & emerging tech",Enablers,AI,UC:AI,S1C;S2B,"Prerequisite for AI-enabled services. Absorbs 7.10+7.11 (Eg 3/2/2, Bh 2/1/2): consent+transparency+bias = one responsible-AI safeguards indicator"
8.1,Prevalence of undernourishment (% of population),O1,Quantitative threshold,,Measured,3,1,High,KEEP,,A1: Agriculture & need,Foundation,NEED,,S1A;S3C,"MOVED O1→A1: food-security need, not a digital outcome; Playbook example KPI"
8.2,"Account ownership, female (% age 15+)",O1,Quantitative threshold,,Measured,3,1,High,KEEP,,O1: Outcomes & inclusion,Outcomes,FIN;EQ,,S1C;S3C,"Absorbs 8.3 (Eg 3/4, Bh 1/2 — adjacent): female account level, gender gap as sub-reading; both free from Findex"
8.3,Gender gap in account ownership (male % minus female %),O1,Quantitative threshold,,Measured,4,2,High,MERGED,8.2,O1: Outcomes & inclusion,,,,,Level and gap from the same Findex table; gap kept as sub-reading
8.4,Mobile money account (% age 15+),O1,Quantitative threshold,,Measured,2,2,High,KEEP,,O1: Outcomes & inclusion,Outcomes,FIN,,S1C;S3C,"Mobile-money baseline, Measured global"
8.5,Women who own land (% of agricultural holders),O1,Quantitative threshold,,Measured,1,4,High,KEEP,,A1: Agriculture & need,Foundation,NEED;EQ,,S1A;S2B-impact,"MOVED O1→A1: land tenure conditions gender-inclusive design; DAR cannot move it — context, not outcome"
8.6,Gender gap in mobile phone ownership (percentage points),O1,Quantitative threshold,,Measured,5,5,Low/Estimated,KEEP,,O1: Outcomes & inclusion,Outcomes,EQ,,S1C;S3C,"Gender access gap (devices), Measured (GSMA)"
8.7,Women using digital agricultural services (% of women farmers),O1,Quantitative threshold,,Judged,2,1,Low/Estimated,MERGED,8.9,O1: Outcomes & inclusion,,,,,"Adoption-by-group cluster, spread ≤1 both countries; disaggregations of one reach number"
8.8,Youth (under 35) using digital agricultural services (%),O1,Quantitative threshold,,Judged,3,1,Low/Estimated,MERGED,8.9,O1: Outcomes & inclusion,,,,,"Adoption-by-group cluster, spread ≤1 both countries; disaggregations of one reach number"
8.9,Smallholder farmers reached by digital services (% of total),O1,Quantitative threshold,,Judged,3,1,Low/Estimated,KEEP,,O1: Outcomes & inclusion,Outcomes,ALL;EQ,,S1C;S3C,"THE adoption outcome. Absorbs 8.7+8.8+8.16 (Eg 3/2/3/2, Bh 1/1/1/–): smallholder reach with women/youth disaggregation as sub-readings"
8.10,Affordability of digital agriculture services for poorest quintile,O1,Quantitative threshold,,Judged,2,2,Medium,DROP,,,,,,,Quintile affordability is survey-grade; 2.5 covers affordability at altitude; Eg no value/Low
8.11,Services available in local languages (% of major platforms),O1,Quantitative threshold,,Documented,1,2,Low/Estimated,KEEP,,O1: Outcomes & inclusion,Outcomes,ADV;EQ,,S1C;S2B,Language accessibility — actionable ADV quality lever
8.12,Documented yield improvement from digital tools (%),O1,Qualitative (evidence quality),,Judged,2,2,Medium,KEEP,,O1: Outcomes & inclusion,Outcomes,ALL,,S3C,"Absorbs 8.13 (Eg 2/2, Bh 2/2 — identical): one documented-impact-evidence indicator (yield & income)"
8.13,Documented income improvement from digital tools (%),O1,Qualitative (evidence quality),,Judged,2,2,Medium,MERGED,8.12,O1: Outcomes & inclusion,,,,,Identical levels both countries; yield & income are two rows of one evidence table
8.14,Farmers using digital climate services (%),O1,Quantitative threshold,,Judged,2,2,Low/Estimated,MERGED,8.17,O1: Outcomes & inclusion,,,,,Reach and usage of the same climate-advisory service (Eg 1/2)
8.15,Environmental sustainability of digital agriculture systems,O1,Quantitative threshold,,Judged,3,3,Medium,DROP,,,,,,,Unanswerable as scoped (Eg no value/Low); redesign if climate co-benefits become a DAR chapter
8.16,Gender-disaggregated adoption of digital advisories,O1,Qualitative (capability),,Judged,2,,not in v1.3 set,MERGED,8.9,O1: Outcomes & inclusion,,,,,"Adoption-by-group cluster, spread ≤1 both countries; disaggregations of one reach number"
8.17,Climate advisory reach (% farmers receiving actionable seasonal advisories),O1,Quantitative threshold,,Judged,1,,not in v1.3 set,KEEP,,O1: Outcomes & inclusion,Outcomes,ADV,,S1C;S3C,"Absorbs 8.14 (Eg 1/2): climate-advisory reach, usage as sub-reading; v1.5 addition kept as home"
